i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
40,3409825,0.04179226,0.01963931,-0.00389326,-0.02816549,-0.05401216,1.46035984,0.98585561,1.51970850,0.99446557,-5.86226523,1.65724176
41,3419825,0.07074143,0.04179226,0.01963931,-0.00389326,-0.02816549,1.65724176,1.46035984,0.98585561,1.51970850,-4.20502348,4.00371204
42,3429824,0.09565392,0.07074143,0.04179226,0.01963931,-0.00389326,4.00371204,1.65724176,1.46035984,0.98585561,-0.20131144,2.54812078
43,3439828,0.11325883,0.09565392,0.07074143,0.04179226,0.01963931,2.54812078,4.00371204,1.65724176,1.46035984,2.34680935,2.21042209
44,3449826,0.13588560,0.11325883,0.09565392,0.07074143,0.04179226,2.21042209,2.54812078,4.00371204,1.65724176,4.55723144,6.26435134
45,3459825,0.15279460,0.13588560,0.11325883,0.09565392,0.07074143,6.26435134,2.21042209,2.54812078,4.00371204,10.82158278,3.44113472
46,3469825,0.17111686,0.15279460,0.13588560,0.11325883,0.09565392,3.44113472,6.26435134,2.21042209,2.54812078,14.26271750,6.22454508
47,3479825,0.19667956,0.17111686,0.15279460,0.13588560,0.11325883,-0.70103611,3.44113472,6.26435134,2.21042209,13.56168139,9.46790080
48,3489825,0.20048656,0.19667956,0.17111686,0.15279460,0.13588560,0.00000000,-0.70103611,3.44113472,6.26435134,13.56168139,-0.25516260
49,3499825,0.16998236,0.20048656,0.19667956,0.17111686,0.15279460,-0.25516260,0.00000000,-0.70103611,3.44113472,13.30651878,-6.49505833
50,3509825,0.13276853,0.16998236,0.20048656,0.19667956,0.17111686,-6.49505833,-0.25516260,0.00000000,-0.70103611,6.81146045,-1.37378676
51,3519825,0.09865358,0.13276853,0.16998236,0.20048656,0.19667956,-1.37378676,-6.49505833,-0.25516260,0.00000000,5.43767369,-0.84725531
52,3529825,0.07615209,0.09865358,0.13276853,0.16998236,0.20048656,-0.84725531,-1.37378676,-6.49505833,-0.25516260,4.59041839,-0.58931657
53,3539825,0.06180698,0.07615209,0.09865358,0.13276853,0.16998236,-0.58931657,-0.84725531,-1.37378676,-6.49505833,4.00110181,2.33188956
54,3549825,0.04974131,0.06180698,0.07615209,0.09865358,0.13276853,2.33188956,-0.58931657,-0.84725531,-1.37378676,6.33299137,0.70704122
55,3559826,0.03835083,0.04974131,0.06180698,0.07615209,0.09865358,0.70704122,2.33188956,-0.58931657,-0.84725531,7.04003259,0.78510452
56,3569825,0.02854728,0.03835083,0.04974131,0.06180698,0.07615209,0.78510452,0.70704122,2.33188956,-0.58931657,7.82513711,1.98184311
57,3579825,0.02247592,0.02854728,0.03835083,0.04974131,0.06180698,1.98184311,0.78510452,0.70704122,2.33188956,9.80698022,1.57851199
58,3589825,0.01919762,0.02247592,0.02854728,0.03835083,0.04974131,1.57851199,1.98184311,0.78510452,0.70704122,11.38549221,2.16727040
59,3599825,0.02430814,0.01919762,0.02247592,0.02854728,0.03835083,2.16727040,1.57851199,1.98184311,0.78510452,13.55276261,4.53675830
60,3609825,0.03322487,0.02430814,0.01919762,0.02247592,0.02854728,0.27816881,2.16727040,1.57851199,1.98184311,13.83093142,3.67708670
61,3619825,0.02693673,0.03322487,0.02430814,0.01919762,0.02247592,0.00000000,0.27816881,2.16727040,1.57851199,13.83093142,-1.17113371
62,3629825,0.01297053,0.02693673,0.03322487,0.02430814,0.01919762,-1.17113371,0.00000000,0.27816881,2.16727040,12.65979771,-1.33751776
63,3639825,-0.00541715,0.01297053,0.02693673,0.03322487,0.02430814,-1.33751776,-1.17113371,0.00000000,0.27816881,11.32227995,-1.25134404
64,3649825,-0.02868479,-0.00541715,0.01297053,0.02693673,0.03322487,-1.25134404,-1.33751776,-1.17113371,0.00000000,10.07093591,-2.51864045
65,3659826,-0.05013114,-0.02868479,-0.00541715,0.01297053,0.02693673,-2.51864045,-1.25134404,-1.33751776,-1.17113371,7.55229545,-1.38811207
66,3669829,-0.06917906,-0.05013114,-0.02868479,-0.00541715,0.01297053,-1.38811207,-2.51864045,-1.25134404,-1.33751776,6.16418338,-1.59591689
67,3679824,-0.08488149,-0.06917906,-0.05013114,-0.02868479,-0.00541715,-1.59591689,-1.38811207,-2.51864045,-1.25134404,4.56826650,-1.92145709
68,3689828,-0.09596866,-0.08488149,-0.06917906,-0.05013114,-0.02868479,-1.92145709,-1.59591689,-1.38811207,-2.51864045,2.64680941,-1.01734431
69,3699825,-0.10669074,-0.09596866,-0.08488149,-0.06917906,-0.05013114,-1.01734431,-1.92145709,-1.59591689,-1.38811207,1.62946510,-2.41976007
70,3709827,-0.11694198,-0.10669074,-0.09596866,-0.08488149,-0.06917906,-2.41976007,-1.01734431,-1.92145709,-1.59591689,-0.79029497,-2.69402035
71,3719824,-0.13540121,-0.11694198,-0.10669074,-0.09596866,-0.08488149,-2.69402035,-2.41976007,-1.01734431,-1.92145709,-3.48431532,-5.21709730
72,3729825,-0.15022543,-0.13540121,-0.11694198,-0.10669074,-0.09596866,-5.21709730,-2.69402035,-2.41976007,-1.01734431,-8.70141262,-4.04428537
73,3739828,-0.15892515,-0.15022543,-0.13540121,-0.11694198,-0.10669074,-4.04428537,-5.21709730,-2.69402035,-2.41976007,-12.74569799,-3.86989978
74,3749825,-0.17018231,-0.15892515,-0.15022543,-0.13540121,-0.11694198,-1.06201573,-4.04428537,-5.21709730,-2.69402035,-13.80771372,-6.88028212
75,3759825,-0.17052632,-0.17018231,-0.15892515,-0.15022543,-0.13540121,0.00000000,-1.06201573,-4.04428537,-5.21709730,-13.80771372,-2.08790496
76,3769826,-0.14543386,-0.17052632,-0.17018231,-0.15892515,-0.15022543,0.00000000,0.00000000,-1.06201573,-4.04428537,-13.80771372,3.96335172
77,3779825,-0.11123087,-0.14543386,-0.17052632,-0.17018231,-0.15892515,3.96335172,0.00000000,0.00000000,-1.06201573,-9.84436200,1.91894124
78,3789825,-0.07355971,-0.11123087,-0.14543386,-0.17052632,-0.17018231,1.91894124,3.96335172,0.00000000,0.00000000,-7.92542077,2.00214217
79,3799825,-0.03755048,-0.07355971,-0.11123087,-0.14543386,-0.17052632,2.00214217,1.91894124,3.96335172,0.00000000,-5.92327859,2.85577568
80,3809825,-0.01013008,-0.03755048,-0.07355971,-0.11123087,-0.14543386,2.85577568,2.00214217,1.91894124,3.96335172,-3.06750291,-0.04567650
81,3819825,0.00592078,-0.01013008,-0.03755048,-0.07355971,-0.11123087,-0.04567650,2.85577568,2.00214217,1.91894124,-3.11317942,-0.61951288
82,3829825,0.01863088,0.00592078,-0.01013008,-0.03755048,-0.07355971,-0.61951288,-0.04567650,2.85577568,2.00214217,-3.73269230,0.82903348
83,3839825,0.03279449,0.01863088,0.00592078,-0.01013008,-0.03755048,0.82903348,-0.61951288,-0.04567650,2.85577568,-2.90365881,0.68882784
84,3849825,0.04493621,0.03279449,0.01863088,0.00592078,-0.01013008,0.68882784,0.82903348,-0.61951288,-0.04567650,-2.21483098,0.54488132
85,3859825,0.05204593,0.04493621,0.03279449,0.01863088,0.00592078,0.54488132,0.68882784,0.82903348,-0.61951288,-1.66994965,0.44494264
86,3869825,0.05462818,0.05204593,0.04493621,0.03279449,0.01863088,0.44494264,0.54488132,0.68882784,0.82903348,-1.22500702,-0.00122733
87,3879825,0.05697218,0.05462818,0.05204593,0.04493621,0.03279449,-0.00122733,0.44494264,0.54488132,0.68882784,-1.22623434,0.83403285
88,3889825,0.05810062,0.05697218,0.05462818,0.05204593,0.04493621,0.83403285,-0.00122733,0.44494264,0.54488132,-0.39220149,0.57122938
89,3899825,0.05694872,0.05810062,0.05697218,0.05462818,0.05204593,0.57122938,0.83403285,-0.00122733,0.44494264,0.17902789,0.20047772
90,3909825,0.06118901,0.05694872,0.05810062,0.05697218,0.05462818,0.20047772,0.57122938,0.83403285,-0.00122733,0.37950561,2.56513463
91,3919825,0.06530247,0.06118901,0.05694872,0.05810062,0.05697218,2.56513463,0.20047772,0.57122938,0.83403285,2.94464024,1.41608518
92,3929825,0.05339292,0.06530247,0.06118901,0.05694872,0.05810062,1.41608518,2.56513463,0.20047772,0.57122938,4.36072542,-2.60761179
93,3939825,0.04374459,0.05339292,0.06530247,0.06118901,0.05694872,-2.60761179,1.41608518,2.56513463,0.20047772,1.75311363,1.79043201
94,3949825,0.02955416,0.04374459,0.05339292,0.06530247,0.06118901,1.79043201,-2.60761179,1.41608518,2.56513463,3.54354564,-1.35749864
95,3959825,0.01104104,0.02955416,0.04374459,0.05339292,0.06530247,-1.35749864,1.79043201,-2.60761179,1.41608518,2.18604700,-2.80031792
96,3969825,-0.01663320,0.01104104,0.02955416,0.04374459,0.05339292,-2.80031792,-1.35749864,1.79043201,-2.60761179,-0.61427091,-2.84202896
97,3979825,-0.04578446,-0.01663320,0.01104104,0.02955416,0.04374459,-2.84202896,-2.80031792,-1.35749864,1.79043201,-3.45629988,-4.30420316
98,3989825,-0.06553178,-0.04578446,-0.01663320,0.01104104,0.02955416,-4.30420316,-2.84202896,-2.80031792,-1.35749864,-7.76050304,-2.20121764
99,3999825,-0.08143579,-0.06553178,-0.04578446,-0.01663320,0.01104104,-2.20121764,-4.30420316,-2.84202896,-2.80031792,-9.96172068,-3.46167529
100,4009825,-0.10128109,-0.08143579,-0.06553178,-0.04578446,-0.01663320,-3.46167529,-2.20121764,-4.30420316,-2.84202896,-13.42339598,-6.17135870
101,4019825,-0.11005363,-0.10128109,-0.08143579,-0.06553178,-0.04578446,-0.41552073,-3.46167529,-2.20121764,-4.30420316,-13.83891671,-1.59441806
102,4029825,-0.10534510,-0.11005363,-0.10128109,-0.08143579,-0.06553178,0.00000000,-0.41552073,-3.46167529,-2.20121764,-13.83891671,-0.67518087
103,4039825,-0.09204004,-0.10534510,-0.11005363,-0.10128109,-0.08143579,-0.67518087,0.00000000,-0.41552073,-3.46167529,-14.51409759,0.53223129
104,4049825,-0.07098977,-0.09204004,-0.10534510,-0.11005363,-0.10128109,0.53223129,-0.67518087,0.00000000,-0.41552073,-13.98186629,0.68906260
105,4059827,-0.05018521,-0.07098977,-0.09204004,-0.10534510,-0.11005363,0.68906260,0.53223129,-0.67518087,0.00000000,-13.29280369,-0.82334461
106,4069831,-0.03368138,-0.05018521,-0.07098977,-0.09204004,-0.10534510,-0.82334461,0.68906260,0.53223129,-0.67518087,-14.11614830,-1.14858338
107,4079825,-0.02219917,-0.03368138,-0.05018521,-0.07098977,-0.09204004,-1.14858338,-0.82334461,0.68906260,0.53223129,-15.26473168,-1.94729168
108,4089826,-0.01983969,-0.02219917,-0.03368138,-0.05018521,-0.07098977,1.47089933,-1.14858338,-0.82334461,0.68906260,-13.79383235,-3.89757238
109,4099825,-0.01422491,-0.01983969,-0.02219917,-0.03368138,-0.05018521,0.00000000,1.47089933,-1.14858338,-0.82334461,-13.79383235,-0.60277887
110,4109825,0.00175325,-0.01422491,-0.01983969,-0.02219917,-0.03368138,-0.60277887,0.00000000,1.47089933,-1.14858338,-14.39661122,2.57773630
111,4119825,0.02240005,0.00175325,-0.01422491,-0.01983969,-0.02219917,2.57773630,-0.60277887,0.00000000,1.47089933,-11.81887492,1.03614119
112,4129825,0.04331656,0.02240005,0.00175325,-0.01422491,-0.01983969,1.03614119,2.57773630,-0.60277887,0.00000000,-10.78273373,0.96874934
113,4139825,0.06949204,0.04331656,0.02240005,0.00175325,-0.01422491,0.96874934,1.03614119,2.57773630,-0.60277887,-9.81398438,3.94955442
114,4149825,0.09354312,0.06949204,0.04331656,0.02240005,0.00175325,3.94955442,0.96874934,1.03614119,2.57773630,-5.86442996,1.75475685
115,4159826,0.10659491,0.09354312,0.06949204,0.04331656,0.02240005,1.75475685,3.94955442,0.96874934,1.03614119,-4.10967311,0.25038497
116,4169825,0.11511278,0.10659491,0.09354312,0.06949204,0.04331656,0.25038497,1.75475685,3.94955442,0.96874934,-3.85928813,2.36231501
117,4179825,0.12723384,0.11511278,0.10659491,0.09354312,0.06949204,2.36231501,0.25038497,1.75475685,3.94955442,-1.49697313,2.94742339
118,4189825,0.14343918,0.12723384,0.11511278,0.10659491,0.09354312,2.94742339,2.36231501,0.25038497,1.75475685,1.45045026,3.83479080
119,4199825,0.16705102,0.14343918,0.12723384,0.11511278,0.10659491,3.83479080,2.94742339,2.36231501,0.25038497,5.28524106,6.86754598
120,4209825,0.18036200,0.16705102,0.14343918,0.12723384,0.11511278,6.86754598,3.83479080,2.94742339,2.36231501,12.15278704,3.42899947
121,4219825,0.18694894,0.18036200,0.16705102,0.14343918,0.12723384,1.68262482,6.86754598,3.83479080,2.94742339,13.83541187,4.67564382
122,4229825,0.21027381,0.18694894,0.18036200,0.16705102,0.14343918,0.00000000,1.68262482,6.86754598,3.83479080,13.83541187,11.16483452
123,4239825,0.21559641,0.21027381,0.18694894,0.18036200,0.16705102,0.00000000,0.00000000,1.68262482,6.86754598,13.83541187,0.06011373
124,4249825,0.18400114,0.21559641,0.21027381,0.18694894,0.18036200,0.06011373,0.00000000,0.00000000,1.68262482,13.89552560,-6.26292555
125,4259825,0.14539069,0.18400114,0.21559641,0.21027381,0.18694894,-6.26292555,0.06011373,0.00000000,0.00000000,7.63260005,-1.37375996
126,4269824,0.09865722,0.14539069,0.18400114,0.21559641,0.21027381,-1.37375996,-6.26292555,0.06011373,0.00000000,6.25884009,-3.68183472
127,4279825,0.06572593,0.09865722,0.14539069,0.18400114,0.21559641,-3.68183472,-1.37375996,-6.26292555,0.06011373,2.57700537,-1.07598200
128,4289827,0.04759300,0.06572593,0.09865722,0.14539069,0.18400114,-1.07598200,-3.68183472,-1.37375996,-6.26292555,1.50102337,2.59006582
129,4299828,0.03416287,0.04759300,0.06572593,0.09865722,0.14539069,2.59006582,-1.07598200,-3.68183472,-1.37375996,4.09108919,-0.55084494
130,4309826,0.02154812,0.03416287,0.04759300,0.06572593,0.09865722,-0.55084494,2.59006582,-1.07598200,-3.68183472,3.54024425,0.53546683
131,4319829,0.00808778,0.02154812,0.03416287,0.04759300,0.06572593,0.53546683,-0.55084494,2.59006582,-1.07598200,4.07571108,0.66875177
132,4329828,-0.00412267,0.00808778,0.02154812,0.03416287,0.04759300,0.66875177,0.53546683,-0.55084494,2.59006582,4.74446284,-0.72769385
133,4339828,-0.01114038,-0.00412267,0.00808778,0.02154812,0.03416287,-0.72769385,0.66875177,0.53546683,-0.55084494,4.01676899,1.28282250
134,4349826,-0.01264124,-0.01114038,-0.00412267,0.00808778,0.02154812,1.28282250,-0.72769385,0.66875177,0.53546683,5.29959149,1.46598705
135,4359825,-0.01310104,-0.01264124,-0.01114038,-0.00412267,0.00808778,1.46598705,1.28282250,-0.72769385,0.66875177,6.76557854,0.43028978
136,4369827,-0.01189621,-0.01310104,-0.01264124,-0.01114038,-0.00412267,0.43028978,1.46598705,1.28282250,-0.72769385,7.19586832,1.83950450
137,4379825,-0.00023707,-0.01189621,-0.01310104,-0.01264124,-0.01114038,1.83950450,0.43028978,1.46598705,1.28282250,9.03537282,4.17530030
138,4389825,0.00595924,-0.00023707,-0.01189621,-0.01310104,-0.01264124,4.17530030,1.83950450,0.43028978,1.46598705,13.21067312,0.79694002
139,4399825,0.00927630,0.00595924,-0.00023707,-0.01189621,-0.01310104,0.79694002,4.17530030,1.83950450,0.43028978,14.00761314,2.36937131
140,4409825,0.01186138,0.00927630,0.00595924,-0.00023707,-0.01189621,-0.21886947,0.79694002,4.17530030,1.83950450,13.78874367,3.02171062
141,4419825,0.00326641,0.01186138,0.00927630,0.00595924,-0.00023707,0.00000000,-0.21886947,0.79694002,4.17530030,13.78874367,-1.89327901
142,4429825,-0.01123631,0.00326641,0.01186138,0.00927630,0.00595924,-1.89327901,0.00000000,-0.21886947,0.79694002,11.89546467,-1.34043665
143,4439825,-0.02808870,-0.01123631,0.00326641,0.01186138,0.00927630,-1.34043665,-1.89327901,0.00000000,-0.21886947,10.55502802,-1.09208814
144,4449825,-0.05095903,-0.02808870,-0.01123631,0.00326641,0.01186138,-1.09208814,-1.34043665,-1.89327901,0.00000000,9.46293988,-3.35447048
145,4459825,-0.07519735,-0.05095903,-0.02808870,-0.01123631,0.00326641,-3.35447048,-1.09208814,-1.34043665,-1.89327901,6.10846940,-2.50109925
146,4469825,-0.09141974,-0.07519735,-0.05095903,-0.02808870,-0.01123631,-2.50109925,-3.35447048,-1.09208814,-1.34043665,3.60737015,-0.83640792
147,4479825,-0.10197243,-0.09141974,-0.07519735,-0.05095903,-0.02808870,-0.83640792,-2.50109925,-3.35447048,-1.09208814,2.77096223,-2.03970186
148,4489825,-0.11087946,-0.10197243,-0.09141974,-0.07519735,-0.05095903,-2.03970186,-0.83640792,-2.50109925,-3.35447048,0.73126037,-2.05814049
149,4499825,-0.12028912,-0.11087946,-0.10197243,-0.09141974,-0.07519735,-2.05814049,-2.03970186,-0.83640792,-2.50109925,-1.32688012,-2.45794382
150,4509825,-0.13865440,-0.12028912,-0.11087946,-0.10197243,-0.09141974,-2.45794382,-2.05814049,-2.03970186,-0.83640792,-3.78482394,-6.00269234
151,4519825,-0.15206360,-0.13865440,-0.12028912,-0.11087946,-0.10197243,-6.00269234,-2.45794382,-2.05814049,-2.03970186,-9.78751629,-3.44468167
152,4529825,-0.16034871,-0.15206360,-0.13865440,-0.12028912,-0.11087946,-3.44468167,-6.00269234,-2.45794382,-2.05814049,-13.23219795,-4.18764913
153,4539825,-0.16999456,-0.16034871,-0.15206360,-0.13865440,-0.12028912,-0.60749742,-3.44468167,-6.00269234,-2.45794382,-13.83969538,-6.82316893
154,4549825,-0.16449836,-0.16999456,-0.16034871,-0.15206360,-0.13865440,0.00000000,-0.60749742,-3.44468167,-6.00269234,-13.83969538,-0.33396176
155,4559825,-0.13523892,-0.16449836,-0.16999456,-0.16034871,-0.15206360,-0.33396176,0.00000000,-0.60749742,-3.44468167,-14.17365713,4.05593939
156,4569828,-0.09793095,-0.13523892,-0.16449836,-0.16999456,-0.16034871,4.05593939,-0.33396176,0.00000000,-0.60749742,-10.11771775,1.90411053
157,4579825,-0.05447803,-0.09793095,-0.13523892,-0.16449836,-0.16999456,1.90411053,4.05593939,-0.33396176,0.00000000,-8.21360721,2.98513907
158,4589827,-0.02000471,-0.05447803,-0.09793095,-0.13523892,-0.16449836,2.98513907,1.90411053,4.05593939,-0.33396176,-5.22846815,1.64268948
159,4599825,0.00008054,-0.02000471,-0.05447803,-0.09793095,-0.13523892,1.64268948,2.98513907,1.90411053,4.05593939,-3.58577866,-1.49722158
160,4609825,0.01644431,0.00008054,-0.02000471,-0.05447803,-0.09793095,-1.49722158,1.64268948,2.98513907,1.90411053,-5.08300024,1.13837596
161,4619825,0.03161801,0.01644431,0.00008054,-0.02000471,-0.05447803,1.13837596,-1.49722158,1.64268948,2.98513907,-3.94462427,0.66384775
162,4629825,0.04760783,0.03161801,0.01644431,0.00008054,-0.02000471,0.66384775,1.13837596,-1.49722158,1.64268948,-3.28077652,0.66938104
163,4639825,0.06385217,0.04760783,0.03161801,0.01644431,0.00008054,0.66938104,0.66384775,1.13837596,-1.49722158,-2.61139548,2.42974091
164,4649825,0.07267681,0.06385217,0.04760783,0.03161801,0.01644431,2.42974091,0.66938104,0.66384775,1.13837596,-0.18165457,0.07125174
165,4659825,0.07789827,0.07267681,0.06385217,0.04760783,0.03161801,0.07125174,2.42974091,0.66938104,0.66384775,-0.11040283,1.02754468
166,4669825,0.08530731,0.07789827,0.07267681,0.06385217,0.04760783,1.02754468,0.07125174,2.42974091,0.66938104,0.91714185,2.93482161
167,4679825,0.10060410,0.08530731,0.07789827,0.07267681,0.06385217,2.93482161,1.02754468,0.07125174,2.42974091,3.85196346,3.88504233
168,4689825,0.11042752,0.10060410,0.08530731,0.07789827,0.07267681,3.88504233,2.93482161,1.02754468,0.07125174,7.73700579,2.40328194
169,4699825,0.11626689,0.11042752,0.10060410,0.08530731,0.07789827,2.40328194,3.88504233,2.93482161,1.02754468,10.14028773,3.52548622
170,4709825,0.11965685,0.11626689,0.11042752,0.10060410,0.08530731,3.52548622,2.40328194,3.88504233,2.93482161,13.66577395,3.91147293
171,4719825,0.12122141,0.11965685,0.11626689,0.11042752,0.10060410,0.16710577,3.52548622,2.40328194,3.88504233,13.83287972,3.32356562
172,4729825,0.11240932,0.12122141,0.11965685,0.11626689,0.11042752,0.00000000,0.16710577,3.52548622,2.40328194,13.83287972,1.08404696
173,4739825,0.07994758,0.11240932,0.12122141,0.11965685,0.11626689,1.08404696,0.00000000,0.16710577,3.52548622,14.91692668,-5.02596870
174,4749825,0.04429702,0.07994758,0.11240932,0.12122141,0.11965685,-5.02596870,1.08404696,0.00000000,0.16710577,9.89095797,-1.28973831
175,4759825,0.00415673,0.04429702,0.07994758,0.11240932,0.12122141,-1.28973831,-5.02596870,1.08404696,0.00000000,8.60121966,-2.82731179
176,4769825,-0.03309840,0.00415673,0.04429702,0.07994758,0.11240932,-2.82731179,-1.28973831,-5.02596870,1.08404696,5.77390787,-4.09556615
177,4779825,-0.06692201,-0.03309840,0.00415673,0.04429702,0.07994758,-4.09556615,-2.82731179,-1.28973831,-5.02596870,1.67834173,-2.12570174
178,4789825,-0.09656271,-0.06692201,-0.03309840,0.00415673,0.04429702,-2.12570174,-4.09556615,-2.82731179,-1.28973831,-0.44736001,-3.75914885
179,4799825,-0.13136299,-0.09656271,-0.06692201,-0.03309840,0.00415673,-3.75914885,-2.12570174,-4.09556615,-2.82731179,-4.20650886,-6.74280550
