i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
41,3418903,0.01370463,0.01250341,0.01115047,0.00994328,0.00885762,0.11559710,0.10170012,0.09485625,0.07676641,0.21729721,0.10674245
42,3428903,0.01488573,0.01370463,0.01250341,0.01115047,0.00994328,0.10674245,0.11559710,0.10170012,0.09485625,0.32403966,0.11949459
43,3438903,0.01677317,0.01488573,0.01370463,0.01250341,0.01115047,0.11949459,0.10674245,0.11559710,0.10170012,0.44353426,0.17927899
44,3448903,0.02096618,0.01677317,0.01488573,0.01370463,0.01250341,0.17927899,0.11949459,0.10674245,0.11559710,0.62281325,0.32397796
45,3458904,0.02446025,0.02096618,0.01677317,0.01488573,0.01370463,0.32397796,0.17927899,0.11949459,0.10674245,0.94679121,0.19540854
46,3468903,0.02207166,0.02446025,0.02096618,0.01677317,0.01488573,0.19540854,0.32397796,0.17927899,0.11949459,1.14219975,-0.16876057
47,3478903,0.01979485,0.02207166,0.02446025,0.02096618,0.01677317,-0.16876057,0.19540854,0.32397796,0.17927899,0.97343918,0.10235470
48,3488903,0.01775345,0.01979485,0.02207166,0.02446025,0.02096618,0.10235470,-0.16876057,0.19540854,0.32397796,1.07579388,0.06873285
49,3498903,0.01644327,0.01775345,0.01979485,0.02207166,0.02446025,0.06873285,0.10235470,-0.16876057,0.19540854,1.14452673,0.08159807
50,3508903,0.01692170,0.01644327,0.01775345,0.01979485,0.02207166,0.08159807,0.06873285,0.10235470,-0.16876057,1.22612480,0.21400282
51,3518903,0.01814047,0.01692170,0.01644327,0.01775345,0.01979485,0.21400282,0.08159807,0.06873285,0.10235470,1.44012762,0.17004688
52,3528903,0.01803057,0.01814047,0.01692170,0.01644327,0.01775345,0.17004688,0.21400282,0.08159807,0.06873285,1.61017450,0.05417583
53,3538903,0.01756103,0.01803057,0.01814047,0.01692170,0.01644327,0.05417583,0.17004688,0.21400282,0.08159807,1.66435033,0.09874251
54,3548903,0.01699381,0.01756103,0.01803057,0.01814047,0.01692170,0.09874251,0.05417583,0.17004688,0.21400282,1.76309284,0.09016392
55,3558905,0.01657783,0.01699381,0.01756103,0.01803057,0.01814047,0.09016392,0.09874251,0.05417583,0.17004688,1.85325677,0.09561557
56,3568903,0.01557258,0.01657783,0.01699381,0.01756103,0.01803057,0.09561557,0.09016392,0.09874251,0.05417583,1.94887234,0.05373585
57,3578903,0.01558992,0.01557258,0.01657783,0.01699381,0.01756103,0.05373585,0.09561557,0.09016392,0.09874251,2.00260819,0.14602754
58,3588903,0.01553554,0.01558992,0.01557258,0.01657783,0.01699381,0.14602754,0.05373585,0.09561557,0.09016392,2.14863573,0.09330977
59,3598903,0.01456150,0.01553554,0.01558992,0.01557258,0.01657783,0.09330977,0.14602754,0.05373585,0.09561557,2.24194550,0.02849333
60,3608903,0.01330911,0.01456150,0.01553554,0.01558992,0.01557258,0.02849333,0.09330977,0.14602754,0.05373585,2.27043882,0.05403567
61,3618903,0.01180935,0.01330911,0.01456150,0.01553554,0.01558992,0.05403567,0.02849333,0.09330977,0.14602754,2.32447449,0.02932398
62,3628903,0.01114167,0.01180935,0.01330911,0.01456150,0.01553554,0.02932398,0.05403567,0.02849333,0.09330977,2.35379846,0.09006619
63,3638903,0.01058421,0.01114167,0.01180935,0.01330911,0.01456150,0.09006619,0.02932398,0.05403567,0.02849333,2.44386465,0.06084817
64,3648903,0.00972719,0.01058421,0.01114167,0.01180935,0.01330911,0.06084817,0.09006619,0.02932398,0.05403567,2.50471282,0.02902436
65,3658905,0.00875930,0.00972719,0.01058421,0.01114167,0.01180935,0.02902436,0.06084817,0.09006619,0.02932398,2.53373718,0.03570609
66,3668903,0.00766835,0.00875930,0.00972719,0.01058421,0.01114167,0.03570609,0.02902436,0.06084817,0.09006619,2.56944327,0.01899912
67,3678903,0.00614883,0.00766835,0.00875930,0.00972719,0.01058421,0.01899912,0.03570609,0.02902436,0.06084817,2.58844239,-0.01394046
68,3688903,0.00449313,0.00614883,0.00766835,0.00875930,0.00972719,-0.01394046,0.01899912,0.03570609,0.02902436,2.57450193,-0.01121427
69,3698903,0.00371836,0.00449313,0.00614883,0.00766835,0.00875930,-0.01121427,-0.01394046,0.01899912,0.03570609,2.56328765,0.04614019
70,3708903,0.00288173,0.00371836,0.00449313,0.00614883,0.00766835,0.04614019,-0.01121427,-0.01394046,0.01899912,2.60942784,-0.00560753
71,3718903,0.00168302,0.00288173,0.00371836,0.00449313,0.00614883,-0.00560753,0.04614019,-0.01121427,-0.01394046,2.60382031,-0.02998597
72,3728903,0.00019523,0.00168302,0.00288173,0.00371836,0.00449313,-0.02998597,-0.00560753,0.04614019,-0.01121427,2.57383435,-0.03797438
73,3738903,-0.00075718,0.00019523,0.00168302,0.00288173,0.00371836,-0.03797438,-0.02998597,-0.00560753,0.04614019,2.53585997,-0.00340473
74,3748903,-0.00085699,-0.00075718,0.00019523,0.00168302,0.00288173,-0.00340473,-0.03797438,-0.02998597,-0.00560753,2.53245523,0.02849145
75,3758905,-0.00164948,-0.00085699,-0.00075718,0.00019523,0.00168302,0.02849145,-0.00340473,-0.03797438,-0.02998597,2.56094669,-0.05992147
