i,time,raw_accel,raw_gyro,kalman_accel
109,5219250,0.01224103,-69.54492188,-0.03172761
110,5221251,-0.04004731,-68.75146484,-0.03417491
111,5223259,-0.10919888,-68.50732422,-0.03713747
112,5225249,-0.03438355,-69.30078125,-0.03949923
113,5227238,-0.00766886,-68.75146484,-0.04163059
114,5229227,-0.12012588,-68.44628906,-0.04459189
115,5231228,-0.18160423,-67.53076172,-0.04797855
116,5233237,-0.17013073,-65.45556641,-0.05121223
117,5235226,-0.17099933,-63.56347656,-0.05433566
118,5237215,-0.22810443,-61.42724609,-0.05779761
119,5239204,-0.27203932,-58.92480469,-0.06148562
120,5241205,-0.10350930,-56.11718750,-0.06377023
121,5243215,-0.04488763,-53.67578125,-0.06551934
122,5245203,-0.07818500,-52.21093750,-0.06742940
123,5247192,-0.12265881,-51.47851562,-0.06963100
124,5249181,-0.08032555,-50.44091797,-0.07145945
125,5251181,-0.04635631,-48.48779297,-0.07296033
126,5253177,-0.02708889,-47.63330078,-0.07427184
127,5255165,-0.04973669,-47.14501953,-0.07570880
128,5257155,-0.11310257,-46.90087891,-0.07761300
129,5259157,-0.06913203,-47.02294922,-0.07917035
130,5261237,-0.02582785,-46.10742188,-0.08040582
131,5263287,-0.05382374,-44.21533203,-0.08180793
132,5265276,-0.09666276,-43.60498047,-0.08344338
133,5267266,-0.10691945,-42.75048828,-0.08510295
134,5269256,-0.10194125,-42.32324219,-0.08669480
135,5271256,-0.11172452,-40.73632812,-0.08830751
136,5273265,-0.21061898,-39.21044922,-0.09062190
137,5275258,-0.43265677,-37.80664062,-0.09455198
138,5277251,-0.57168108,-32.67968750,-0.09937027
139,5279245,-0.49702885,-26.94238281,-0.10338815
140,5281251,-0.62803048,-15.95605469,-0.10804492
141,5283264,-0.52700120,-6.25146484,-0.11155088
142,5285258,-0.46383359,2.59863281,-0.11423008
143,5287251,-0.56127151,11.99804688,-0.11731315
144,5289245,-0.63833988,20.60400391,-0.12065708
145,5291251,-0.69425831,32.07861328,-0.12402821
146,5293264,-0.65067102,43.49218750,-0.12663429
147,5295257,-0.52210826,54.11230469,-0.12787898
148,5297251,-0.61382388,64.36621094,-0.12945808
149,5299245,-0.77124103,74.74218750,-0.13187027
150,5301285,-0.83333904,83.65332031,-0.13438475
151,5303300,-0.88161444,96.59277344,-0.13680414
152,5305293,-0.79338513,109.16601562,-0.13816087
153,5307285,-0.63476524,127.84277344,-0.13770609
154,5309287,-0.99918710,143.65087891,-0.13945773
155,5311292,-0.84435007,158.48242188,-0.13947565
156,5313304,-0.56636356,171.36083984,-0.13686933
157,5315293,0.22930726,188.81689453,-0.12770799
158,5317286,0.91558707,197.17871094,-0.11301150
159,5319279,0.71881410,199.86425781,-0.09978146
160,5321283,1.07905663,200.77978516,-0.08383597
161,5323294,1.18966132,191.38037109,-0.06733990
162,5325286,1.27041095,182.59130859,-0.05073665
163,5327278,1.21152742,167.33251953,-0.03518644
164,5329271,1.08279255,152.25683594,-0.02126048
165,5331295,1.01960571,141.08740234,-0.00830395
166,5333311,1.18813963,127.23242188,0.00543904
167,5335302,1.22063087,118.68750000,0.01889528
168,5337295,1.04744157,108.79980469,0.03059382
169,5339288,0.91457150,104.10009766,0.04098180
170,5341323,1.19942197,88.84130859,0.05306710
171,5343344,0.95800273,76.87841797,0.06280353
172,5345335,1.00648505,61.19238281,0.07226803
173,5347328,0.90011735,44.10253906,0.08026520
174,5349321,0.87322210,32.20068359,0.08754060
175,5351326,0.88873388,17.30810547,0.09439193
176,5353337,0.60217340,4.85693359,0.09855324
177,5355330,0.49991652,-9.12011719,0.10142795
178,5357323,0.81632773,-24.07373047,0.10619071
179,5359328,0.86677178,-37.62353516,0.11082037
180,5361401,1.05418603,-54.53027344,0.11624939
