Vdc[V],R[Ohm],Itf[mA],tau[us],rising time[us]
10,1.008,1344,346,321
11,1.008,1486,353,306
12,1.008,1603,343,317
13,1.008,1735,330,304
14,1.008,1869,313,305
15,1.008,2004,283,314
16,1.008,2056,360,319
