Vdc[V],R[Ohm],Itf[mA],tau[us],rising time[us]
10,1.008,1370,416,320
11,1.008,1502,430,329
12,1.008,1643,406,331
13,1.008,1774,446,316
14,1.008,1885,480,314
15,1.008,1980,573,333
16,1.008,1089,623,322
