Vdc[V],R[Ohm],Itf[mA],tau[us],rising time[us]
10,1.008,1368,380,329
11,1.008,1470,430,335
12,1.008,1640,503,319
13,1.008,1760,550,332
14,1.008,1902,416,325
15,1.008,1950,310,336
16,1.008,2086,343,314
