tick,time[us]
1,858
2,866
3,826
4,851
5,869
6,824
7,882
8,868
9,826
10,858
11,868
12,827
13,850
14,867
15,825
16,882
17,866
18,825
19,860
20,867
21,825
22,851
23,866
24,825
25,882
26,867
27,826
28,859
29,866
30,826
31,849
32,867
33,824
34,881
35,866
36,825
37,859
38,866
39,826
40,849
41,868
42,823
43,882
44,865
45,825
46,858
47,867
48,824
49,850
50,867
51,822
52,882
53,866
54,823
55,859
56,866
57,825
58,848
59,866
60,823
61,880
62,866
63,824
64,858
65,865
66,824
67,848
68,866
69,823
70,882
71,866
72,824
73,858
74,866
75,823
76,849
77,865
78,822
79,881
80,864
81,823
82,857
83,864
84,824
85,846
86,865
87,823
88,880
89,864
90,824
91,857
92,863
93,823
94,848
95,863
96,822
97,879
98,862
99,824
100,857
101,863
102,823
103,847
104,865
105,822
106,880
107,864
108,824
109,858
110,863
111,824
112,847
113,865
114,822
115,881
116,864
117,823
118,875
119,888
120,854
121,883
122,910
123,873
124,939
125,935
126,908
127,952
128,966
129,930
130,966
131,995
132,957
133,1029
134,1026
135,996
136,1045
137,1064
138,1025
139,1066
140,1098
141,1053
142,1136
143,1131
144,1096
145,1148
146,1171
147,1127
148,1169
149,1204
150,1159
151,1248
152,1243
153,1208
154,1271
155,1288
156,1243
157,1292
158,1329
159,1281
160,1380
161,1378
162,1338
163,1408
164,1436
165,1384
166,1439
167,1486
168,1436
169,1552
170,1550
171,1510
172,1596
173,1633
174,1587
175,1656
176,1723
177,1667
178,1816
179,1828
180,1796
181,1911
182,1969
183,1927
184,2025
185,2121
186,2073
187,2276
188,2332
189,2334
190,2512
191,1283
192,1345
193,2611
194,1491
195,1302
196,2978
197,2960
198,3317
199,3580
200,4819
201,6771
202,8952
203,10753
204,14582
205,16869
206,16276
207,18506
208,19218
209,17288
210,17192
211,17378
212,16242
213,16599
214,16993
215,16101
216,17293
217,17131
218,16369
219,17033
220,17317
221,16310
222,16739
223,17242
224,16408
225,17605
226,17259
227,16406
228,17183
229,17286
230,16250
231,16682
232,17052
233,16179
234,17459
235,17231
236,16465
237,17038
238,17259
239,16198
240,16653
241,17044
242,16143
243,17361
244,17124
245,16414
246,17094
247,17299
248,16219
249,16595
250,17039
251,16113
252,17283
253,17199
254,16501
255,17214
256,17383
257,16215
258,16559
259,17016
260,16114
261,17401
262,17131
263,16356
264,17132
265,17337
266,16172
267,16587
268,17064
269,16158
270,17408
271,17236
272,16516
273,17220
274,17471
275,16349
276,16649
277,17038
278,16192
279,17352
280,17161
281,16430
282,17101
283,17222
284,16261
285,16620
286,17090
287,16158
288,17374
289,17075
290,16331
291,17035
292,17300
293,16331
294,16624
295,17137
296,16303
297,17513
298,17184
299,16433
300,17123
301,17298
302,16248
303,16687
304,17087
305,16170
306,17357
307,17025
308,16382
309,17174
310,17443
311,16390
312,16688
313,17050
314,16142
315,17306
316,17374
317,16575
318,17227
319,17350
320,16224
321,16574
322,16972
323,16137
324,17383
325,17163
326,16388
327,17116
328,17373
329,16410
330,16759
331,17094
332,16240
333,17572
334,17250
335,16337
336,17115
337,17331
338,16167
339,16549
340,16983
341,16021
342,17161
343,16977
344,16345
345,17051
346,17231
347,16153
348,16451
349,16951
350,16251
351,17415
352,17132
353,16605
354,17406
355,17564
356,16333
357,16700
358,17050
359,16094
360,17258
361,17055
362,16431
363,17156
364,17297
365,16260
366,16609
367,17094
368,16248
369,17448
370,17191
