i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
35,3358918,-0.08066505,-0.08577732,-0.08049215,-0.07492883,-0.06434883,-0.66843440,-0.39221984,-0.71897580,-0.71573976,-3.37252612,0.06638115
36,3368914,-0.06899218,-0.08066505,-0.08577732,-0.08049215,-0.07492883,0.06638115,-0.66843440,-0.39221984,-0.71897580,-3.30614497,0.11376554
37,3378914,-0.05707880,-0.06899218,-0.08066505,-0.08577732,-0.08049215,0.11376554,0.06638115,-0.66843440,-0.39221984,-3.19237943,-0.12152127
38,3388914,-0.04719083,-0.05707880,-0.06899218,-0.08066505,-0.08577732,-0.12152127,0.11376554,0.06638115,-0.66843440,-3.31390070,-0.12416999
39,3398914,-0.03921827,-0.04719083,-0.05707880,-0.06899218,-0.08066505,-0.12416999,-0.12152127,0.11376554,0.06638115,-3.43807069,-0.15553263
40,3408914,-0.03328329,-0.03921827,-0.04719083,-0.05707880,-0.06899218,-0.15553263,-0.12416999,-0.12152127,0.11376554,-3.59360332,-0.19177690
41,3418914,-0.02718391,-0.03328329,-0.03921827,-0.04719083,-0.05707880,-0.19177690,-0.15553263,-0.12416999,-0.12152127,-3.78538021,-0.03851796
42,3428914,-0.01934934,-0.02718391,-0.03328329,-0.03921827,-0.04719083,-0.03851796,-0.19177690,-0.15553263,-0.12416999,-3.82389818,0.11206857
43,3438914,-0.01090361,-0.01934934,-0.02718391,-0.03328329,-0.03921827,0.11206857,-0.03851796,-0.19177690,-0.15553263,-3.71182960,0.12633132
44,3448919,-0.00343340,-0.01090361,-0.01934934,-0.02718391,-0.03328329,0.12633132,0.11206857,-0.03851796,-0.19177690,-3.58549828,0.09856737
45,3458921,0.00218134,-0.00343340,-0.01090361,-0.01934934,-0.02718391,0.09856737,0.12633132,0.11206857,-0.03851796,-3.48693091,0.05900535
46,3468914,0.00959597,0.00218134,-0.00343340,-0.01090361,-0.01934934,0.05900535,0.09856737,0.12633132,0.11206857,-3.42792556,0.30049365
47,3478914,0.01584120,0.00959597,0.00218134,-0.00343340,-0.01090361,0.30049365,0.05900535,0.09856737,0.12633132,-3.12743191,0.17195608
48,3488914,0.02188050,0.01584120,0.00959597,0.00218134,-0.00343340,0.17195608,0.30049365,0.05900535,0.09856737,-2.95547583,0.25403197
49,3498914,0.02983226,0.02188050,0.01584120,0.00959597,0.00218134,0.25403197,0.17195608,0.30049365,0.05900535,-2.70144386,0.45823753
50,3508914,0.03792472,0.02983226,0.02188050,0.01584120,0.00959597,0.45823753,0.25403197,0.17195608,0.30049365,-2.24320633,0.40473920
51,3518914,0.04588659,0.03792472,0.02983226,0.02188050,0.01584120,0.40473920,0.45823753,0.25403197,0.17195608,-1.83846713,0.45836811
52,3528914,0.05375703,0.04588659,0.03792472,0.02983226,0.02188050,0.45836811,0.40473920,0.45823753,0.25403197,-1.38009902,0.51739192
53,3538914,0.06259701,0.05375703,0.04588659,0.03792472,0.02983226,0.51739192,0.45836811,0.40473920,0.45823753,-0.86270710,0.62409252
54,3548914,0.07559393,0.06259701,0.05375703,0.04588659,0.03792472,0.62409252,0.51739192,0.45836811,0.40473920,-0.23861458,0.94331181
55,3558920,0.08346864,0.07559393,0.06259701,0.05375703,0.04588659,0.94331181,0.62409252,0.51739192,0.45836811,0.70469723,0.46297746
