i,time,y0,y1,y2,y3,y4,du1,du2,du3,du4,U1,du
33,3338842,0.05728339,0.03480056,0.01330496,-0.00476007,-0.02318924,0.00000000,0.00000000,0.00000000,-0.35437404,-10.77429189,-0.58286145
34,3348840,0.08100024,0.05728339,0.03480056,0.01330496,-0.00476007,0.00000000,0.00000000,0.00000000,0.00000000,-10.77429189,-0.56606245
35,3358843,0.10543395,0.08100024,0.05728339,0.03480056,0.01330496,0.00000000,0.00000000,0.00000000,0.00000000,-10.77429189,-0.54977782
36,3368840,0.14136406,0.10543395,0.08100024,0.05728339,0.03480056,0.00000000,0.00000000,0.00000000,0.00000000,-10.77429189,-0.48840750
37,3378840,0.17260624,0.14136406,0.10543395,0.08100024,0.05728339,-0.02556557,0.00000000,0.00000000,0.00000000,-10.79985746,-0.50810352
38,3388840,0.19635395,0.17260624,0.14136406,0.10543395,0.08100024,0.00000000,-0.02556557,0.00000000,0.00000000,-10.79985746,-0.50798105
39,3398840,0.22006572,0.19635395,0.17260624,0.14136406,0.10543395,0.00000000,0.00000000,-0.02556557,0.00000000,-10.79985746,-0.47713246
40,3408840,0.24827730,0.22006572,0.19635395,0.17260624,0.14136406,0.00000000,0.00000000,0.00000000,-0.02556557,-10.79985746,-0.44283742
41,3418840,0.27531148,0.24827730,0.22006572,0.19635395,0.17260624,0.00000000,0.00000000,0.00000000,0.00000000,-10.79985746,-0.43789899
42,3428840,0.30634665,0.27531148,0.24827730,0.22006572,0.19635395,0.00000000,0.00000000,0.00000000,0.00000000,-10.79985746,-0.40123208
43,3438840,0.33941521,0.30634665,0.27531148,0.24827730,0.22006572,0.00000000,0.00000000,0.00000000,0.00000000,-10.79985746,-0.38033231
44,3448840,0.37089306,0.33941521,0.30634665,0.27531148,0.24827730,0.00000000,0.00000000,0.00000000,0.00000000,-10.79985746,-0.36871792
45,3458843,0.40953218,0.37089306,0.33941521,0.30634665,0.27531148,0.00000000,0.00000000,0.00000000,0.00000000,-10.79985746,-0.31547653
46,3468840,0.45224516,0.40953218,0.37089306,0.33941521,0.30634665,0.00000000,0.00000000,0.00000000,0.00000000,-10.79985746,-0.28763535
47,3478840,0.49819289,0.45224516,0.40953218,0.37089306,0.33941521,-0.00617212,0.00000000,0.00000000,0.00000000,-10.80602958,-0.25455760
48,3488840,0.54627531,0.49819289,0.45224516,0.40953218,0.37089306,0.00000000,-0.00617212,0.00000000,0.00000000,-10.80602958,-0.22170425
49,3498840,0.61230731,0.54627531,0.49819289,0.45224516,0.40953218,0.00000000,0.00000000,-0.00617212,0.00000000,-10.80602958,-0.12129804
50,3508847,0.69394401,0.61230731,0.54627531,0.49819289,0.45224516,0.00000000,0.00000000,0.00000000,-0.00617212,-10.80602958,-0.05029163
51,3518840,0.77545336,0.69394401,0.61230731,0.54627531,0.49819289,0.00000000,0.00000000,0.00000000,0.00000000,-10.80602958,-0.02767886
52,3528840,0.84788834,0.77545336,0.69394401,0.61230731,0.54627531,0.00000000,0.00000000,0.00000000,0.00000000,-10.80602958,-0.00945869
53,3538840,0.91491727,0.84788834,0.77545336,0.69394401,0.61230731,0.00000000,0.00000000,0.00000000,0.00000000,-10.80602958,0.03556198
54,3548840,0.98499413,0.91491727,0.84788834,0.77545336,0.69394401,0.03556198,0.00000000,0.00000000,0.00000000,-10.77046760,0.10583469
55,3558840,1.05921492,0.98499413,0.91491727,0.84788834,0.77545336,0.10583469,0.03556198,0.00000000,0.00000000,-10.66463292,0.16980425
56,3568840,1.13405417,1.05921492,0.98499413,0.91491727,0.84788834,0.16980425,0.10583469,0.03556198,0.00000000,-10.49482866,0.22417894
57,3578840,1.20629961,1.13405417,1.05921492,0.98499413,0.91491727,0.22417894,0.16980425,0.10583469,0.03556198,-10.27064973,0.27642146
58,3588842,1.27275473,1.20629961,1.13405417,1.05921492,0.98499413,0.27642146,0.22417894,0.16980425,0.10583469,-9.99422826,0.32351455
59,3598840,1.33217067,1.27275473,1.20629961,1.13405417,1.05921492,0.32351455,0.27642146,0.22417894,0.16980425,-9.67071372,0.37098776
60,3608840,1.38697644,1.33217067,1.27275473,1.20629961,1.13405417,0.37098776,0.32351455,0.27642146,0.22417894,-9.29972596,0.42898358
61,3618842,1.43701818,1.38697644,1.33217067,1.27275473,1.20629961,0.42898358,0.37098776,0.32351455,0.27642146,-8.87074238,0.48186596
62,3628843,1.48243053,1.43701818,1.38697644,1.33217067,1.27275473,0.48186596,0.42898358,0.37098776,0.32351455,-8.38887642,0.53566960
63,3638840,1.52467209,1.48243053,1.43701818,1.38697644,1.33217067,0.53566960,0.48186596,0.42898358,0.37098776,-7.85320683,0.59529442
64,3648840,1.56244251,1.52467209,1.48243053,1.43701818,1.38697644,0.59529442,0.53566960,0.48186596,0.42898358,-7.25791241,0.64815970
65,3658840,1.59563429,1.56244251,1.52467209,1.48243053,1.43701818,0.64815970,0.59529442,0.53566960,0.48186596,-6.60975271,0.70347481
66,3668840,1.62274971,1.59563429,1.56244251,1.52467209,1.48243053,0.70347481,0.64815970,0.59529442,0.53566960,-5.90627790,0.75325589
67,3678840,1.64606656,1.62274971,1.59563429,1.56244251,1.52467209,0.75325589,0.70347481,0.64815970,0.59529442,-5.15302201,0.81418583
68,3688840,1.66561755,1.64606656,1.62274971,1.59563429,1.56244251,0.81418583,0.75325589,0.70347481,0.64815970,-4.33883618,0.87181910
