Vdc[V],PWM[%],It[mA],v[RPM]
14.8,-100,-107.6,-101.67
14.8,-90,-90.9,-88.220
14.8,-80,-79.8,-78.408
14.8,-70,-70.0,-69.377
14.8,-60,-60.6,-59.652
14.8,-50,-50.7,-49.580
14.8,-40,-40.7,-38.683
14.8,-30,-30.72,-27.206
14.8,-20,-21.72,-15.651
14.8,-10,-13.95,-5.002
14.8,0,8.80,0
14.8,10,13.99,5.009
14.8,20,21.53,15.672
14.8,30,30.58,27.091
14.8,40,40.80,38.552
14.8,50,50.9,49.189
14.8,60,60.8,59.001
14.8,70,70.3,68.596
14.8,80,80.2,77.713
14.8,90,91.3,87.612
14.8,100,107.6,101.679
