Vdc[V],PWM[%],It[mA],v[RPM]
14.8,-100,-105.4,-104.631
14.8,-90,-84.3,-89.349
14.8,-80,-78.8,-79.623
14.8,-70,-69.4,-70.159
14.8,-60,-60.6,-60.607
14.8,-50,-50.8,-50.231
14.8,-40,-40.9,-39.771
14.8,-30,-30.8,-27.525
14.8,-20,-21.4,-15.911
14.8,-10,-13.6,-5.202
14.8,0,-8.98,0
14.8,10,13.7,5.151
14.8,20,21.5,15.738
14.8,30,30.9,27.149
14.8,40,41.2,38.683
14.8,50,51.4,49.233
14.8,60,61.4,59.479
14.8,70,71.0,69.204
14.8,80,80.9,78.408
14.8,90,92.0,88.393
14.8,100,107.9,103.242
