Vdc[V],PWM[%],It[mA],v[RPM]
14.8,-100,110.8,102.721
14.8,-90,93.6,88.741
14.8,-80,82.1,78.929
14.8,-70,71.8,69.638
14.8,-60,61.9,60.000
14.8,-50,51.8,49.710
14.8,-40,41.5,38.769
14.8,-30,31.24,26.975
14.8,-20,21.90,15.629
14.8,-10,13.90,4.869
14.8,0,8.80,0
14.8,10,13.92,4.842
14.8,20,21.80,15.521
14.8,30,31.04,26.888
14.8,40,41.43,38.466
14.8,50,51.9,49.102
14.8,60,62.1,59.348
14.8,70,72.1,69.204
14.8,80,82.4,78.688
14.8,90,93.6,88.828
14.8,100,110.5,103.415
