Vdc[V],PWM[%],It[mA]
14.8,-100,1891
14.8,-90,1701
14.8,-80,1377
14.8,-70,1069
14.8,-60,797
14.8,-50,560
14.8,-40,363
14.8,-30,203
14.8,-20,87
14.8,-10,22
14.8,0,8
14.8,10,22
14.8,20,88
14.8,30,208
14.8,40,371
14.8,50,576
14.8,60,823
14.8,70,1090
14.8,80,1400
14.8,90,1713
14.8,100,1913
