Vdc[V],PWM[%],It[mA]
14.8,-100,-1929
14.8,-90,-1720
14.8,-80,-1380
14.8,-70,-1072
14.8,-60,-800
14.8,-50,-559
14.8,-40,-360
14.8,-30,-202
14.8,-20,-86
14.8,-10,-21
14.8,0,7
14.8,10,21
14.8,20,87
14.8,30,207
14.8,40,370
14.8,50,573
14.8,60,814
14.8,70,1088
14.8,80,1372
14.8,90,1703
14.8,100,1957
