Vdc[V],PWM[%],It[mA]
14.8,-100,-1875
14.8,-90,-1743
14.8,-80,-1406
14.8,-70,-1083
14.8,-60,-791
14.8,-50,-551
14.8,-40,-362
14.8,-30,-202
14.8,-20,-87
14.8,-10,-22
14.8,0,7
14.8,10,22
14.8,20,87
14.8,30,203
14.8,40,362
14.8,50,573
14.8,60,816
14.8,70,1091
14.8,80,1402
14.8,90,1735
14.8,100,1878
