n,time,theta,dUtheta,dUu,dU,U,battery_voltage,PWM
54,4536634,0.00241664,0.13933087,0.12988340,0.26921426,-1.07668432,14.85566065,-30.60573628
55,4556634,0.00680095,1.11538160,0.10390338,1.21928498,0.14260066,14.85566065,24.31800741
56,4576633,0.02743964,2.29705613,-0.01376141,2.28329472,2.42589538,14.85015906,39.70257396
57,4596634,0.04019489,0.39861656,-0.23410644,0.16451011,2.59040550,14.85015906,40.81037430
58,4616634,0.01014249,-4.25936361,-0.24998218,-4.50934579,-1.91894029,14.85015906,-36.28877155
59,4636635,-0.04712201,-4.15029980,0.18518370,-3.96511610,-5.88405639,14.85015906,-62.98960405
60,4656635,-0.06248231,2.34868128,0.56782973,2.91651101,-2.96754539,14.85015906,-43.35000966
61,4676635,-0.03385301,2.46535540,0.28637735,2.75173275,-0.21581263,14.82873881,-24.85587398
62,4696634,0.00844073,1.36641756,0.02082659,1.38724415,1.17143152,14.82873881,31.30024459
63,4716635,0.02263110,-0.27072872,-0.11304678,-0.38377550,0.78765602,14.82873881,28.71219240
64,4736634,0.04324633,3.17388522,-0.07601125,3.09787396,3.88552998,14.82873881,49.60320683
65,4756635,0.03348644,-2.18958381,-0.37496572,-2.56454953,1.32098045,14.82873881,32.30875205
66,4776635,0.01069032,-1.93707057,-0.12747872,-2.06454929,-0.74356883,14.82322430,-28.42545419
67,4796634,-0.04030695,-3.73076880,0.07175670,-3.65901209,-4.40258093,14.82322430,-53.10977401
68,4816634,-0.04099562,2.82805807,0.42486274,3.25292081,-1.14966012,14.82322430,-31.16501527
69,4836635,-0.02125040,1.23570303,0.11094577,1.34664880,0.19698869,14.82322430,24.73813128
70,4856634,0.03924913,5.02125763,-0.01901002,5.00224761,5.19923630,14.82322430,58.48414704
71,4876634,0.03487779,-4.14764623,-0.50174246,-4.64938869,0.54984760,14.76157134,27.23184077
72,4896635,0.02758064,0.66818629,-0.05306200,0.61512429,1.16497189,14.76157134,31.39890589
73,4916634,-0.00958753,-2.29432571,-0.11242341,-2.40674912,-1.24177722,14.76157134,-31.91921179
74,4936635,-0.02717281,-1.25387822,0.11983536,-1.13404285,-2.37582008,14.76157134,-39.60161110
75,4956635,-0.04015606,-0.38083328,0.22927402,-0.15155926,-2.52737934,14.76157134,-40.62832605
76,4976634,-0.01797103,2.71189236,0.24389996,2.95579232,0.42841299,14.84934378,26.25309943
77,4996634,0.04245735,5.75000698,-0.04134318,5.70866380,6.13707678,14.84934378,64.69697871
78,5016635,0.05755298,-2.81590501,-0.59224698,-3.40815199,2.72892479,14.84934378,41.74544601
79,5036635,0.02777078,-3.24702201,-0.26334972,-3.51037174,-0.78144695,14.84934378,-28.63053755
80,5056634,-0.03063096,-2.82667240,0.07541206,-2.75126034,-3.53270729,14.84934378,-47.15836198
81,5076634,-0.01637571,5.22492694,0.34091723,5.56584417,2.03313688,14.74842109,37.31339678
82,5096634,0.02332079,2.33560479,-0.19620403,2.13940077,4.17253765,14.74842109,51.81936155
83,5116635,0.05606201,0.33550428,-0.40266285,-0.06715857,4.10537908,14.74842109,51.36400046
84,5136635,0.03067740,-3.29642029,-0.39618184,-3.69260213,0.41277695,14.74842109,26.32672965
85,5156634,-0.00216380,-1.01342913,-0.03983426,-1.05326339,-0.64048644,14.74842109,-27.87068808
86,5176633,-0.04351484,-3.10398242,0.06180893,-3.04217349,-3.68265993,14.87133578,-48.09695668
87,5196635,-0.04743871,1.01643249,0.35538813,1.37182062,-2.31083931,14.87133578,-38.87236088
88,5216635,-0.03007641,1.62618335,0.22300318,1.84918652,-0.46165279,14.87133578,-26.43779178
